id,name,latitude,longitude
230,Lincoln Ave & Roscoe St,41.94334,-87.67097
231,Sheridan Rd & Montrose Ave,41.96167,-87.65464
232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303
233,Sangamon St & Washington Blvd (*),41.883165,-87.6511
234,Clark St & Montrose Ave,41.961588,-87.666036
236,Sedgwick St & Schiller St,41.907626,-87.638566
237,MLK Jr Dr & 29th St,41.842052,-87.617
238,Wolcott (Ravenswood) Ave & Montrose Ave (*),41.961406,-87.676169
239,Western Ave & Leland Ave,41.966555,-87.688487
240,Sheridan Rd & Irving Park Rd,41.954245,-87.654406
241,Morgan St & Polk St,41.871737,-87.65103
242,Damen Ave & Leland Ave,41.967094,-87.679028
243,Lincoln Ave & Sunnyside Ave,41.963004,-87.684781
244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393
245,Clarendon Ave & Junior Ter,41.961004,-87.649603
246,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835
247,Shore Dr & 55th St,41.795212,-87.580715
248,Woodlawn Ave & 55th St,41.795264,-87.596471
249,Montrose Harbor,41.963982,-87.638181
250,Ashland Ave & Wellington Ave,41.936083000000004,-87.669807
251,Clarendon Ave & Leland Ave,41.967968,-87.650001
252,Greenwood Ave & 47th St,41.809835,-87.599383
253,Winthrop Ave & Lawrence Ave,41.968812,-87.657659
254,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043
255,Indiana Ave & Roosevelt Rd,41.867888,-87.623041
256,Broadway & Sheridan Rd,41.952833,-87.649993
257,Lincoln Ave & Waveland Ave,41.948797,-87.675278
258,Logan Blvd & Elston Ave,41.929465,-87.684158
259,California Ave & Francis Pl,41.918121,-87.696972
260,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857
261,Hermitage Ave & Polk St,41.871514,-87.669886
262,Halsted St & 37th St,41.827059,-87.64572
263,Rhodes Ave & 32nd St,41.836208,-87.613533
264,Stetson Ave & South Water St,41.886835,-87.62232
265,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071
267,Lake Park Ave & 47th St,41.809443,-87.591875
268,Lake Shore Dr & North Blvd,41.911722,-87.626804
270,Stony Island Ave & 75th St,41.7586696704,-87.586882871
271,Cottage Grove Ave & 43rd St,41.816499,-87.606582
272,Indiana Ave & 31st St,41.838842,-87.621857
273,Michigan Ave & 18th St,41.857813,-87.62455
274,Racine Ave & 15th St,41.861267,-87.656625
275,Ashland Ave & 13th St,41.865234,-87.666507
276,California Ave & North Ave,41.91044,-87.6972
277,Ashland Ave & Grand Ave,41.891072,-87.666611
278,Wallace St & 35th St,41.830629,-87.64129
279,Halsted St & 35th St (*),41.830661,-87.647172
280,Morgan St & 31st St,41.8378,-87.65114
281,Western Ave & 24th St,41.84847,-87.685109
282,Halsted St & Maxwell St,41.864883,-87.647071
283,LaSalle St & Jackson Blvd,41.878166,-87.631929
284,Michigan Ave & Jackson Blvd,41.87785,-87.62408
285,Wood St & Hubbard St,41.889587,-87.671956
286,Franklin St & Quincy St,41.878724,-87.634793
287,Franklin St & Monroe St,41.880317,-87.635185
