"","Gene ID","Gene Name","A2058","A375","C32","Malme3M","SKMEL28","SKMEL5","WM2664"
"136","ENSG00000006459","KDM7A",4,16,6,11,3,13,7
"137","ENSG00000006468","ETV1",43,73,106,36,42,33,68
"138","ENSG00000006530","AGK",31,35,51,52,29,27,38
"139","ENSG00000006534","ALDH3B1",7,5,3,9,1,2,5
"140","ENSG00000006555","TTC22",0.1,0.2,0.2,0.1,0.1,0.2,0.1
"141","ENSG00000006576","PHTF2",17,25,75,58,78,20,89
"142","ENSG00000006606","CCL26",0.2,0,0.6,0,0.2,0,0
"143","ENSG00000006607","FARP2",47,27,20,46,90,119,73
"144","ENSG00000006625","GGCT",180,128,112,83,89,87,166
"145","ENSG00000006634","DBF4",52,44,88,31,45,22,52
"146","ENSG00000006638","TBXA2R",3,2,6,20,0.1,0.5,5
"147","ENSG00000006652","IFRD1",43,25,104,46,28,26,35
"148","ENSG00000006659","LGALS14",0.3,0,0,0,0.1,0,0.2
"149","ENSG00000006695","COX10",37,41,20,22,24,20,27
"150","ENSG00000006704","GTF2IRD1",15,12,11,15,6,10,8
"151","ENSG00000006712","PAF1",91,103,71,69,107,49,99
"152","ENSG00000006715","VPS41",47,37,37,77,45,75,86
"153","ENSG00000006740","ARHGAP44",0.2,2,0.4,0.4,0.4,0.3,1
"154","ENSG00000006744","ELAC2",88,84,72,42,47,43,58
"155","ENSG00000006747","SCIN",0.1,0.6,0.4,3,110,0.3,0.1
"156","ENSG00000006756","ARSD",8,10,4,20,9,16,14
"157","ENSG00000006757","PNPLA4",8,0.4,14,27,18,22,13
"158","ENSG00000006788","MYH13",0.4,5,0,0,0,0.9,1
"159","ENSG00000006831","ADIPOR2",130,106,119,128,113,122,93
"160","ENSG00000006837","CDKL3",1,0.9,4,2,1,1,1
"161","ENSG00000007001","UPP2",0,0.1,0.2,0.2,0.1,0.1,0.1
"162","ENSG00000007038","PRSS21",0,0,0,0,0,0,0.1
"163","ENSG00000007047","MARK4",20,16,16,16,15,15,14
"164","ENSG00000007062","PROM1",0.2,0.9,0.8,1,6,2,2
"165","ENSG00000007080","CCDC124",105,123,115,76,158,52,134
"166","ENSG00000007129","CEACAM21",0,0,0,0,0.4,0.1,0.6
"167","ENSG00000007168","PAFAH1B1",132,119,117,137,102,89,113
"168","ENSG00000007171","NOS2",0.6,0.6,0,2,0,0.3,0
"169","ENSG00000007174","DNAH9",1,10,2,12,0.1,0.3,4
"170","ENSG00000007202","KIAA0100",183,141,103,121,106,107,129
"171","ENSG00000007216","SLC13A2",0,0,0,0,0,0.1,0
"172","ENSG00000007237","GAS7",264,191,245,301,117,78,569
"173","ENSG00000007255","TRAPPC6A",15,11,11,52,25,73,31
"174","ENSG00000007264","MATK",0,0.1,0,0,1,8,0
"175","ENSG00000007306","CEACAM7",0,0.1,0,0,0,0.1,0
"176","ENSG00000007312","CD79B",0,0,0,16,0.1,2,0.4
"177","ENSG00000007341","ST7L",5,6,6,3,8,6,11
"178","ENSG00000007350","TKTL1",0.1,1,18,1,0.6,0.2,0.2
"179","ENSG00000007372","PAX6",0.4,0.4,0.4,0.2,0.1,0.2,0.4
"180","ENSG00000007376","RPUSD1",48,43,30,12,43,27,24
"181","ENSG00000007384","RHBDF1",44,51,23,39,22,8,45
"182","ENSG00000007392","LUC7L",27,21,15,10,14,19,16
"183","ENSG00000007402","CACNA2D2",0.4,0.3,0.2,1,0.2,3,0.1
"184","ENSG00000007516","BAIAP3",0.8,0.5,1,0.6,0.3,5,0.6
"185","ENSG00000007520","TSR3",92,95,47,35,92,59,72
"186","ENSG00000007541","PIGQ",26,17,10,8,20,12,22
"187","ENSG00000007545","CRAMP1",8,12,7,4,8,6,6
"188","ENSG00000007866","TEAD3",22,11,19,22,6,14,7
"189","ENSG00000007923","DNAJC11",57,55,38,33,85,39,21
"190","ENSG00000007933","FMO3",0.1,0.4,0.2,0.2,0,0.5,0.1
"191","ENSG00000007944","MYLIP",49,36,53,31,59,78,28
"192","ENSG00000007952","NOX1",0.7,1,0.9,0.8,0.6,0.5,0.3
"193","ENSG00000007968","E2F2",20,11,13,10,27,3,15
"194","ENSG00000008018","PSMB1",294,292,230,170,272,191,299
"195","ENSG00000008056","SYN1",0.2,1,0.3,0.6,0.4,0.2,0.3
"196","ENSG00000008083","JARID2",66,42,28,69,39,74,46
