Name,Born,Died,Nationality,Age_death
Bernard Zweers,1854,1924,Dutch,70
George Whitefield Chadwick,1854,1931,American,77
Ernest Chausson,1855,1899,French,44
Jean Pietrapertosa,1855,1940,Italian-French,85
Julius Röntgen,1855,1932,German-Dutch,77
Anatoly Lyadov,1855,1914,Russian,59
Arnold Mendelssohn,1855,1933,German,78
Stevan Mokranjac,1856,1914,Serbian,58
Giuseppe Martucci,1856,1909,Italian,53
Sergei Taneyev,1856,1915,Russian,59
Christian Sinding,1856,1941,Norwegian,85
Edward Elgar,1857,1934,English,77
Cécile Chaminade,1857,1944,French,87
Ruggero Leoncavallo,1857,1919,Italian,62
Giacomo Puccini,1858,1924,Italian,66
Jenő Hubay,1858,1937,Hungarian,79
Eugène Ysaÿe,1858,1931,Belgian,73
Carlo Curti,1859,1926,Italian,67
Mikhail Ippolitov-Ivanov,1859,1935,Russian,76
Victor Herbert,1859,1924,Irish-born American,65
Sergei Lyapunov,1859,1924,Russian,65
Per Lasson,1859,1883,Norwegian,24
